Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Yield_Metric_t_ha,Profit_Margin_Pct,Water_Productivity_t_m3,Total_NPK_kg_ha,Cost_Per_Tonne_INR,Pesticide_Risk_Ratio
SF10001,Gujarat,Rajkot,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810,-11852,237,5.485,55.3,2.46,-38.46802986,0.005485232,228.1,32816.92308,0.078300181
SF10002,Telangana,Nalgonda,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401,-451950,4953,0.396,49.9,0.3,-1118.660429,0.00039572,239.3,251199.4898,0.13747495
SF10003,Telangana,Warangal,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466,-124744,1275,1.984,33.7,0.52,-65.49410393,0.001984314,287.9,124588.9328,0.18041543
SF10004,Madhya Pradesh,Indore,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740,-95704,3834,2.16,50.6,1.84,-47.67560028,0.002159624,309.7,35802.41546,0.126284585
SF10005,Punjab,Ludhiana,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607,-144352,3287,2.829,32.3,2.21,-74.55928763,0.002829328,314.5,36339.67742,0.235603715
SF10006,Karnataka,Raichur,Pulses,Zaid,5.46,356,33.6,49,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570,-32763,1093,3.596,57.1,0.72,-12.1538005,0.003595608,218.5,76929.51654,0.078458844
SF10007,Telangana,Warangal,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102,-41239,2368,8.687,31.6,2.53,-8.735188582,0.008686655,295,24955.80943,0.252848101
SF10008,Punjab,Ludhiana,Pulses,Kharif,5.34,860.2,29,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265,5065,1704,3.697,54.2,1.18,1.147836334,0.003697183,289.5,69238.09524,0.108671587
SF10009,Andhra Pradesh,Guntur,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834,230705,5079,2.103,54.7,1.53,30.52323658,0.002102776,248.7,49169.38202,0.040402194
SF10010,Karnataka,Raichur,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907,1954835,5984,5.239,41.7,2.29,66.06611833,0.005238971,271.7,32027.81499,0.174820144
SF10011,Andhra Pradesh,Krishna,Wheat,Rabi,4.7,390.8,24.5,43.5,7.8,5.93,25.2,137.9,31.4,70,Sprinkler,224.4,5.9,0.89,1.44,6.77,20806,289759,140857,-148902,2371,2.855,33.5,1.44,-105.7114662,0.002855335,239.3,42800.44313,0.176119403
SF10012,Gujarat,Rajkot,Maize,Rabi,14.07,315.3,24.2,53.7,5.9,5.87,29.4,100.6,50.8,65.8,Drip,178.7,5.34,0.71,1.36,19.14,20120,964512,385097,-579415,7467,2.563,35,1.36,-150.4594946,0.002563278,217.2,50392.47649,0.152571429
SF10013,Madhya Pradesh,Indore,Wheat,Rabi,6.04,431.5,24.1,59.8,9,8.23,27,162.3,60.1,113,Rainfed,170.3,4.73,0.91,0.3,1.81,23239,335153,42063,-293090,1411,1.283,49.6,0.3,-696.7881511,0.001282778,335.4,185167.4033,0.095362903
SF10014,Madhya Pradesh,Indore,Pulses,Kharif,10.5,779.3,29.9,69.8,5.8,6.79,33.8,102.2,45.9,91.7,Rainfed,224.8,5.27,0.69,1.31,13.76,72375,852631,995880,143249,1556,8.843,50.6,1.31,14.38416275,0.008843188,239.8,61964.46221,0.104150198
SF10015,Madhya Pradesh,Indore,Rice,Kharif,4.38,762,25,80.2,6.7,6.54,36.9,143.8,50.4,92.6,Rainfed,149.8,6.44,0.95,3.32,14.54,21720,286933,315809,28876,3404,4.271,43.6,3.32,9.143501294,0.004271445,286.8,19734.04402,0.147706422
SF10016,Telangana,Warangal,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641,-44486,1455,4.983,29.7,3.21,-32.32031154,0.004982818,209,25120.96552,0.213468013
SF10017,Madhya Pradesh,Indore,Cotton,Zaid,3.93,80,28.4,46.6,5,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1,3.93,64034,218756,251654,32898,4210,0.933,32.3,1,13.07271094,0.000933492,276.9,55663.10433,0.235294118
SF10018,Punjab,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17,20107,727865,341819,-386046,3453,4.923,43,1.54,-112.938719,0.004923255,326.6,42815.58824,0.131162791
SF10019,Telangana,Nalgonda,Groundnut,Kharif,2.46,851.7,29,71.8,6,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1,1.13,22.69921844,0.002278689,277.6,51765.10791,0.130885122
